"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"GeneName"	"padj"
4685.37055162332	-1.89127162677497	0.048405067513426	-39.0717692161135	0	"ELF3"	0
7779.32284374756	1.85724296412167	0.0444484964529976	41.7841572230822	0	"LBH"	0
2192.81730716924	3.22293850778694	0.0690787254037774	46.6560216470164	0	"MARCHF4"	0
2183.25379127558	3.2323651239523	0.0692331339978216	46.6881236960038	0	"TNS1"	0
11797.2676904177	1.95563497649735	0.0423865226556759	46.1381319808614	0	"F2RL1"	0
51441.3262003822	1.59936343531251	0.0361861976965848	44.1981622032495	0	"TGFBI"	0
1079.63687679191	3.45633527440871	0.0904319988092308	38.2202684881483	0	"PCDH1"	0
3039.68324860836	3.5009655525667	0.0750076595891074	46.6747739063586	0	"ADAM19"	0
47037.3816170415	2.93546296093767	0.03759106397918	78.0893821617683	0	"SERPINE1"	0
6062.11573516946	2.08846290674474	0.0549323134996964	38.0188412555442	0	"TGFBR1"	0
13244.50706778	-2.44988746127775	0.0515766306349936	-47.4999516470072	0	"MUC5AC"	0
2016.42703558912	-2.83491708275645	0.0648702156520542	-43.7013667098343	0	"EHF"	0
2278.59011946561	2.21113226925345	0.0569376659883451	38.8342625373169	0	"PHLDB1"	0
5103.4451152474	-2.44671617517592	0.0562282354466968	-43.5140131241599	0	"NTS"	0
9390.12565488297	2.04124385476288	0.0494030348492638	41.3181874553057	0	"ULK1"	0
4069.20133194506	2.11535758798678	0.0527889882545217	40.0719479181453	0	"COL4A1"	0
2749.58179691681	2.92460937279055	0.0597449355532557	48.9515863680796	0	"FRMD6"	0
1711.83812971989	2.56872812349733	0.0676300499404032	37.9820527378132	0	"PLEK2"	0
1435.73850967734	2.87827124806882	0.0755035342472668	38.1210134964379	0	"GREM1"	0
1583.72810166983	3.28421414273174	0.0728904402755254	45.0568569803864	0	"LINC02086"	0
3186.00655885765	3.42675132039438	0.0638347074728416	53.6816327050968	0	"COL1A1"	0
6362.59225781079	2.1128831381164	0.0538648912603941	39.2256085304671	0	"ARHGEF18"	0
3319.59389774167	5.03370554990786	0.0810343415380878	62.118176742905	0	"ANGPTL4"	0
8539.20936316226	2.72013144625958	0.0645900978888732	42.1137532712761	0	"JUNB"	0
4702.22895604928	3.50469403821393	0.0579167836599016	60.5125805810309	0	"IL11"	0
26916.6940594958	2.63593015453537	0.0440296273073772	59.8671920644152	0	"PMEPA1"	0
3466.92132514433	2.33825192205699	0.0625995984786713	37.3525067074299	2.30866137353017e-305	"VGLL3"	1.56587095309104e-302
5516.53654520959	2.1623396153168	0.0588945638504665	36.7154364332672	4.14224165505348e-295	"PGM2L1"	2.70917397960695e-292
19496.3022515186	1.65426819826243	0.0459655071274175	35.9893385637356	1.22820225125408e-283	"TNS4"	7.75588545766067e-281
962.783296733685	3.03668660426293	0.0859176078465499	35.3441707744761	1.23220195808111e-273	"NIPAL4"	7.52177148611309e-271
4898.57132986859	1.8874369918478	0.0536308249597282	35.1931374030717	2.54632677822569e-271	"NRP2"	1.50422200934346e-268
1078.5550100771	3.46941304588914	0.0988982200625843	35.0806419336328	1.33031934809778e-269	"BMF"	7.61316819428584e-267
4921.8053782562	2.31693925606574	0.0660975983210716	35.0533047329665	3.47234521429225e-269	"JUN"	1.9269411487677e-266
2212.53476282609	-2.12060799164039	0.0609326257772104	-34.8025046449505	2.22906058109862e-265	"DAPK1"	1.20061136534291e-262
2627.12527742512	2.12470617092036	0.0613939348319037	34.6077536280708	1.93147984966289e-262	"GPAM"	1.01060544248218e-259
1256.94549850865	2.4883725133965	0.0724885385599564	34.3278063378024	3.01987709692004e-258	"GADD45B"	1.53619470210824e-255
6848.62008439834	1.54712749385351	0.0451184869783158	34.2903230464504	1.09388806253186e-257	"RAI14"	5.41415461868811e-255
6141.03614824052	-1.53378587405865	0.0455536268406274	-33.6698959102577	1.59501334662743e-248	"XBP1"	7.68670510968107e-246
7859.87229913955	1.64975694257418	0.0497820968496976	33.1395631557091	8.00652361426113e-241	"THBS1"	3.75957607558882e-238
7289.1818040923	1.59668420505533	0.0484721185833962	32.9402603335407	5.83264297236187e-238	"GRB10"	2.67032976882157e-235
4542.18285348471	1.64384592174098	0.0499450329648246	32.9131011465887	1.42756521503639e-237	"EPHB2"	6.37634189828325e-235
13671.6122097939	1.27488857162994	0.0389687567393894	32.7156593718396	9.35335832607655e-235	"MCL1"	3.98344304710325e-232
21940.585204305	1.65455146180066	0.050573028316978	32.7160843805986	9.22408464217481e-235	"NCOR2"	3.98344304710325e-232
8950.91104463712	1.61910750554814	0.0499104781972485	32.440232272457	7.43860107601228e-231	"FURIN"	3.09597957965938e-228
2787.70199253252	1.74377644839917	0.0539478908136278	32.3233479956306	3.28720434316774e-229	"CHST11"	1.33774606969846e-226
1544.89625135691	2.14018687339489	0.0663622775722649	32.2500515607582	3.51211420867589e-228	"SH2B3"	1.39820320659742e-225
1846.03285291328	1.93494213077936	0.0603933076902515	32.0390156588772	3.12260051297527e-225	"TUFT1"	1.21668474881098e-222
3985.17211781926	1.55002852863922	0.0486527812646581	31.8589911686133	9.88207780119294e-223	"ITGA5"	3.77021855777596e-220
3064.33873273956	1.72849718960925	0.0542763604793692	31.8462250295184	1.48464031032187e-222	"LAMC2"	5.54861591896418e-220
4862.30974684571	-1.60998792997571	0.0506879416731368	-31.7627403447901	2.11783516033119e-221	"TOB1"	7.75678305822902e-219
14214.8706565907	-1.49620378885026	0.0472293388625654	-31.6795412530361	2.97307588653042e-220	"CEACAM6"	1.06756742568689e-217
